time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-25 00:00:00+00:00,0,0,2,2
2024-07-26 00:00:00+00:00,0,0,1,1
2024-07-28 00:00:00+00:00,0,0,1,1
2024-07-29 00:00:00+00:00,1,1,16,4
2024-07-30 00:00:00+00:00,0,0,48,2
2024-07-31 00:00:00+00:00,0,0,1,1
2024-08-02 00:00:00+00:00,0,0,5,1
2024-08-03 00:00:00+00:00,0,0,5,1
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,1,1,8,2
2024-08-07 00:00:00+00:00,19,8,48,1
2024-08-08 00:00:00+00:00,2,2,6,2
2024-08-09 00:00:00+00:00,1,1,1,1
2024-08-10 00:00:00+00:00,2,2,0,0
2024-08-11 00:00:00+00:00,3,2,4,1
2024-08-12 00:00:00+00:00,3,3,1,1
2024-08-13 00:00:00+00:00,4,2,0,0
2024-08-14 00:00:00+00:00,2,2,2,2
2024-08-15 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,1,1,2,1
2024-08-17 00:00:00+00:00,3,3,0,0
2024-08-18 00:00:00+00:00,8,5,0,0
2024-08-19 00:00:00+00:00,2,2,1,1
2024-08-20 00:00:00+00:00,3,3,0,0
2024-08-21 00:00:00+00:00,1,1,1,1
2024-08-22 00:00:00+00:00,3,3,1,1
2024-08-23 00:00:00+00:00,2,2,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
